Exact Age		probability a	lives b	expectancy	probability aa	lives bb	eexpectancy	Cohort multiplier	Effective cohort size	Effective cohort size, male	Effective cohort size, female	Effective expected deaths	Effective expected deaths, male	Effective expected deaths, female	Total living	Avg Mortality Rate from SSN Data		Expected mortality rate, using 2010 mortality numbers and 2013 cohort sizes	Change from 2010 to 2013	Cohort Change	Small Cohort Death Rate	Small Cohort Death Rate, males, 2010 data	Small Cohort Death Rate, females, 2010 data	male cohort 2010	female cohort 2010	M Big Cohort Size	F Big Cohort Size	M Big Cohort Cum Deaths		M Big Cohort Death Rate				Big Cohort Death Rate	Big Cohort Death Rate, males, 2010 data	Big Cohort Death Rate, females, 2010 data	big male cohort 2010	big female cohort 2010	Death Rate Multiplier	M Death Rate, Adjusted	F Death Rate, Adjusted	M Death Rate Multiplier vs. Cohort	F Death Rate Multiplier vs. Cohort	M Death vs Big Cohort	F Death vs Big Cohort	Suicide Rate, Raw (per 100,000)	Cerebrovascular, Male (Raw)	Cerebrovascular, Female (Raw)	Cerebrovascular, Male, Adj	Cerebrovascular, Female, Adj	Drug Overdose Rates, Male, Raw	Drug Overdose Rates, Female, Raw	Cardiovascular, Raw								
99	85+	0.340829	1341.408	2.21	0.291899	3686.562	2.56	0.6	2211.9372	804.84482	2211.9372	455.68072	274.31445	645.66225	2486.781	0.276183	0.136604	0.136604	0.494614	0.494614	0.136604			0.158559473	0.135645	128708.1	211482.7	16665.18	21987.62			0.131273	0.107145	0.135645			0	0.135645	0.49461363	0.168578669	0.1443772	2.1495341	2.1519386	2.1495341	2.1519386	18.6	808.4	955.8	1737.683366	2056.822914	5.9	3.5	4013.9							1914	2400000
100	85+	0.35787	884.21727	2.09	0.309413	2610.4582	2.41	0.6	1566.2749	530.53036	1566.2749	333.82409	189.8609	484.62582	1727.313	0.29158	0.136604	0.136604	0.468496	0.468496	0.136604			0.158559473	0.135645	128708.1	211482.7	16754.13	22214.67			0.131273	0.107145	0.135645			0	0.135645	0.468496444	0.167660822	0.1449589	2.257008	2.2810554	2.257008	2.2810554	18.6	808.4	955.8	1824.565267	2180.232751	5.9	3.5	4013.9							1913	2400000
101	85+	0.375764	567.78244	1.98	0.327978	1802.7485	2.27	0.6	1081.6491	340.66946	1081.6491	238.75396	128.01132	354.75711	1170.94	0.306825	0.136604	0.136604	0.445218	0.445218	0.136604			0.158559473	0.135645	128708.1	211482.7	16811.12	22372.61			0.131273	0.107145	0.135645			0	0.135645	0.445218344	0.167297026	0.1460218	2.3698616	2.4179203	2.3698616	2.4179203	18.6	808.4	955.8	1915.796117	2311.048223	5.9	3.5	4013.9							1912	2400000
102	85+	0.394552	354.43024	1.88	0.347656	1211.4867	2.13	0.6	726.89199	212.65814	726.89199	166.34841	83.904695	252.70836	773.0166	0.321976	0.136604	0.136604	0.424268	0.424268	0.136604			0.158559473	0.135645	128708.1	211482.7	16846.72	22479.83			0.131273	0.107145	0.135645			0	0.135645	0.424268249	0.167395886	0.1474994	2.4883534	2.5629905	2.4883534	2.5629905	18.6	808.4	955.8	2011.584889	2449.70632	5.9	3.5	4013.9							1911	2400000
103	85+	0.41428	214.58908	1.77	0.368516	790.30605	2	0.6	474.18363	128.75345	474.18363	112.63383	53.339978	174.74426	495.7692	0.33732	0.136604	0.136604	0.404968	0.404968	0.136604			0.158559473	0.135645	128708.1	211482.7	16868.32	22550.6			0.131273	0.107145	0.135645			0	0.135645	0.404968395	0.167770307	0.1492373	2.6127736	2.7167747	2.6127736	2.7167747	18.6	808.4	955.8	2112.166178	2596.693258	5.9	3.5	4013.9							1910	2400000
104	85+	0.434993	125.68911	1.68	0.390627	499.06563	1.87	0.6	299.43938	75.413469	299.43938	73.910407	32.804331	116.96911	308.0462	0.353567	0.136604	0.136604	0.386359	0.386359	0.136604			0.158559473	0.135645	128708.1	211482.7	16881	22595.79			0.131273	0.107145	0.135645			0	0.135645	0.386359277	0.168063581	0.1509224	2.7434059	2.8797815	2.7434059	2.8797815	18.6	808.4	955.8	2217.76933	2752.495158	5.9	3.5	4013.9							1909	2400000
105	85+	0.456743	71.01523	1.58	0.414064	304.11712	1.75	0.6	182.47027	42.609138	182.47027	46.85722	19.461425	75.55437	184.8622	0.370777	0.136604	0.136604	0.368427	0.368427	0.136604			0.158559473	0.135645	128708.1	211482.7	16888.17	22623.62			0.131273	0.107145	0.135645			0	0.135645	0.368426797	0.16827636	0.1525523	2.8805784	3.0525638	2.8805784	3.0525638	18.6	808.4	955.8	2328.659579	2917.64048	5.9	3.5	4013.9							1908	2400000
106	85+	0.47958	38.579521	1.49	0.438908	178.19317	1.64	0.6	106.9159	23.147712	106.9159	28.598141	11.10118	46.926244	106.7668	0.389011	0.136604	0.136604	0.351157	0.351157	0.136604			0.158559473	0.135645	128708.1	211482.7	16892.07	22640.1			0.131273	0.107145	0.135645			0	0.135645	0.351157475	0.168408102	0.1541258	3.0246064	3.2357188	3.0246064	3.2357188	18.6	808.4	955.8	2445.091814	3092.700029	5.9	3.5	4013.9							1907	2400000
107	85+	0.503559	20.077554	1.4	0.465243	99.982761	1.53	0.6	59.989657	12.046532	59.989657	16.734568	6.0661399	27.909768	59.10326	0.408337	0.136604	0.136604	0.334537	0.334537	0.136604			0.158559473	0.135645	128708.1	211482.7	16894.09	22649.44			0.131273	0.107145	0.135645			0	0.135645	0.334537482	0.16845936	0.1556412	3.1758367	3.4298658	3.1758367	3.4298658	18.6	808.4	955.8	2567.346388	3278.265732	5.9	3.5	4013.9							1906	2400000
108	85+	0.528737	9.9673211	1.32	0.493157	53.466481	1.43	0.6	32.079889	5.9803926	32.079889	9.3444012	3.1620549	15.820422	31.21231	0.428825	0.136604	0.136604	0.318554	0.318554	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.1	22654.48			0.131273	0.107145	0.135645			0	0.135645	0.318553946	0.168431258	0.1570971	3.3346289	3.6356534	3.3346289	3.6356534	18.6	808.4	955.8	2695.714003	3474.95752	5.9	3.5	4013.9							1905	2400000
109	85+	0.555174	4.6972296	1.24	0.522747	27.099112	1.33	0.6	16.259467	2.8183378	16.259467	4.9516827	1.5646679	8.4995876	15.63831	0.450551	0.136604	0.136604	0.303193	0.303193	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.58	22657.06			0.131273	0.107145	0.135645			0	0.135645	0.303193365	0.168325073	0.1584934	3.5013613	3.8537969	3.5013613	3.8537969	18.6	808.4	955.8	2830.500475	3683.459077	5.9	3.5	4013.9							1904	2400000
110	85+	0.582933	2.0894499	1.16	0.554111	12.933132	1.23	0.6	7.7598794	1.2536699	7.7598794	2.4739193	0.7308056	4.2998346	7.385504	0.473592	0.136604	0.136604	0.288442	0.288442	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.79	22658.3			0.131273	0.107145	0.135645			0	0.135645	0.288442359	0.16814257	0.1598291	3.6764312	4.0850187	3.6764312	4.0850187	18.6	808.4	955.8	2972.026982	3904.460873	5.9	3.5	4013.9							1903	2400000
111	85+	0.61208	0.8714406	1.09	0.587358	5.7667415	1.14	0.6	3.4600449	0.5228644	3.4600449	1.1562978	0.3200348	2.032285	3.262306	0.498032	0.136604	0.136604	0.274288	0.274288	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.87	22658.85			0.131273	0.107145	0.135645			0	0.135645	0.274287754	0.167886048	0.1611051	3.860255	4.3301223	3.860255	4.3301223	18.6	808.4	955.8	3120.630142	4138.730894	5.9	3.5	4013.9							1902	2400000
112	85+	0.642683	0.3380492	1.02	0.622599	2.3795997	1.06	0.6	1.4277598	0.2028295	1.4277598	0.5008391	0.1303551	0.8889218	1.335142	0.523956	0.136604	0.136604	0.260716	0.260716	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.91	22659.09			0.131273	0.107145	0.135645			0	0.135645	0.260716302	0.167557935	0.1623217	4.0532615	4.5899261	4.0532615	4.5899261	18.6	808.4	955.8	3276.656597	4387.051366	5.9	3.5	4013.9							1901	2400000
113	85+	0.674818	0.1207907	0.95	0.659955	0.8980633	0.98	0.6	0.538838	0.0724744	0.538838	0.1987002	0.0489071	0.3556088	0.500411	0.551458	0.136604	0.136604	0.247714	0.247714	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.17			0.131273	0.107145	0.135645			0	0.135645	0.247714238	0.167162027	0.1634803	4.2559299	4.8653221	4.2559299	4.8653221	18.6	808.4	955.8	3440.493731	4650.274863	5.9	3.5	4013.9							1900	2400000
114	85+	0.708559	0.039279	0.89	0.699553	0.3053819	0.9	0.6	0.1832292	0.0235674	0.1832292	0.0711455	0.0166989	0.1281785	0.169244	0.58063	0.136604	0.136604	0.235268	0.235268	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2			0.131273	0.107145	0.135645			0	0.135645	0.235268457	0.166701583	0.1645828	4.468727	5.1572466	4.468727	5.1572466	18.6	808.4	955.8	3612.518907	4929.2963	5.9	3.5	4013.9							1899	2400000
115	85+	0.743986	0.0114475	0.82	0.741526	0.0917511	0.83	0	0	0	0	0	0	0	0.050668	0.611571	0.136604	0.136604	0.223366	0.223366	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2			0.131273	0.107145	0.135645			0	0.135645	0.223365584	0.166180867	0.1656314	4.6921574	5.4666801	4.6921574	5.4666801	18.6	808.4	955.8	3793.140042	5225.05284	5.9	3.5	4013.9								
116	85+	0.781186	0.0029307	0.76	0.781186	0.0237153	0.76	0	0	0	0	0	0	0	0.013082	0.644375	0.136604	0.136604	0.211994	0.211994	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2			0.131273	0.107145	0.135645			0	0.135645	0.211994448	0.165607095	0.1656071	4.9267697	5.7590616	4.9267697	5.7590616	18.6	808.4	955.8	3982.800625	5504.511077	5.9	3.5	4013.9								
117	85+	0.820245	0.0006413	0.71	0.820245	0.0051892	0.71		0	0	0	0	0	0	0.002863	0.679119	0.136604	0.136604	0.201149	0.201149	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2			0.131273	0.107145	0.135645			0	0.135645	0.201148771	0.164991274	0.1649913	5.1731063	6.0470125	5.1731063	6.0470125	18.6	808.4	955.8	4181.939133	5779.734548	5.9	3.5	4013.9								
118	85+	0.861257	0.0001153	0.65	0.861257	0.0009328	0.65		0	0	0	0	0	0	0.000515	0.715794	0.136604	0.136604	0.190843	0.190843	0.136604			0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2			0.131273	0.107145	0.135645			0	0.135645	0.190842549	0.164364481	0.1643645	5.43176	6.3493613	5.43176	6.3493613	18.6	808.4	955.8	4391.034784	6068.719531	5.9	3.5	4013.9								
119	85+	0.90432	1.60E-05	0.6	0.90432	0.0001294	0.6		0	0	0	0	0	0	7.14E-05	0.754006	0.136604	0.136604	0.181171	0.181171	0.136604	0.158559	0.135645	0.158559473	0.135645	128708.1	211482.7	16895.92	22659.2	0.131273	0.107145	0.131273	0.107145	0.135645	0	0.135645	0	0.135645	0.181170987	0.163836547	0.1638365	5.7033489	6.6668304	5.7033489	6.6668304	18.6	808.4	955.8	4610.587251	6372.156496	5.9	3.5	4013.9								
