"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","24","1327","32415926","4.09"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","24","12553","65988693","19.02"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","25","10658","33228989","32.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","25","1308","32287895","4.05"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","25","11966","65516884","18.26"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","26","10164","32624339","31.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","26","1205","31966811","3.77"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","26","11369","64591150","17.6"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","27","9442","32591378","28.97"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","27","1250","32129964","3.89"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","27","10692","64721342","16.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","28","8999","32530592","27.66"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","28","1219","32084267","3.8"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","28","10218","64614859","15.81"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","29","8889","32439821","27.4"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","29","1281","32018126","4"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","29","10170","64457947","15.78"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","30","8334","32862698","25.36"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","30","1241","32337231","3.84"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","30","9575","65199929","14.69"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","31","7925","32317099","24.52"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","31","1206","32038541","3.76"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","31","9131","64355640","14.19"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","32","7554","32566395","23.2"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","32","1235","32362863","3.82"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","32","8789","64929258","13.54"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","33","7402","32439229","22.82"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","33","1213","32324520","3.75"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","33","8615","64763749","13.3"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","34","7226","32625190","22.15"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","34","1251","32556295","3.84"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","34","8477","65181485","13.01"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","35","7011","32953633","21.28"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","35","1277","32893379","3.88"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","35","8288","65847012","12.59"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","36","6684","33019357","20.24"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","36","1265","33146361","3.82"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","36","7949","66165718","12.01"
