"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","23","21","32623426","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","23","178","66614128","0.27"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","24","167","33572767","0.5"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","24","28","32415926","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","24","195","65988693","0.3"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","25","165","33228989","0.5"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","25","21","32287895","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","25","186","65516884","0.28"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","26","181","32624339","0.55"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","26","28","31966811","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","26","209","64591150","0.32"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","27","168","32591378","0.52"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","27","21","32129964","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","27","189","64721342","0.29"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","28","177","32530592","0.54"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","28","16","32084267","0.05"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","28","193","64614859","0.3"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","29","161","32439821","0.5"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","29","27","32018126","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","29","188","64457947","0.29"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","30","211","32862698","0.64"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","30","22","32337231","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","30","233","65199929","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","31","186","32317099","0.58"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","31","18","32038541","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","31","204","64355640","0.32"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","32","189","32566395","0.58"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","32","22","32362863","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","32","211","64929258","0.32"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","33","217","32439229","0.67"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","33","17","32324520","0.05"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","33","234","64763749","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","34","190","32625190","0.58"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","34","23","32556295","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","34","213","65181485","0.33"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","35","230","32953633","0.7"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","35","21","32893379","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","35","251","65847012","0.38"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","36","237","33019357","0.72"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","36","27","33146361","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","36","264","66165718","0.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","37","206","33279870","0.62"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","37","33","33499041","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","37","239","66778911","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","38","234","33570968","0.7"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","38","40","33860789","0.12"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","38","274","67431757","0.41"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","39","221","34031240","0.65"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","39","24","34372297","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","39","245","68403537","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","40","283","34362279","0.82"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","40","33","34754743","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","40","316","69117022","0.46"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","41","261","34564860","0.76"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","41","37","35037103","0.11"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","41","298","69601963","0.43"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","42","284","34932942","0.81"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","42","31","35414540","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","42","315","70347482","0.45"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","43","284","34952964","0.81"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","43","47","35544635","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","43","331","70497599","0.47"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","44","289","34813382","0.83"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","44","31","35463281","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","44","320","70276663","0.46"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","45","318","34689880","0.92"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","45","28","35431695","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","45","346","70121575","0.49"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","46","302","34495259","0.88"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","46","37","35311991","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","46","339","69807250","0.49"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","47","329","34460124","0.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","47","24","35353350","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","47","353","69813474","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","48","291","34100794","0.85"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","48","32","35107524","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","48","323","69208318","0.47"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","49","322","33906977","0.95"
