Age	M Death Rate, Adjusted	F Death Rate, Adjusted	Suicide Rate, Raw (per 100,000)	Cerebrovascular, Male, Adj	Cerebrovascular, Female, Adj	Drug Overdose Rates, Male, Raw	Drug Overdose Rates, Female, Raw
84	0.086732784	0.0647334	17.1	441.8801473	423.1344759	3.7	3.4
85	0.095135107	0.0718654	18.6	513.3071611	535.9032009	5.9	3.5
86	0.105306286	0.0804585	18.6	568.1863652	599.9827091	5.9	3.5
87	0.116765399	0.0901412	18.6	630.0146565	672.1867085	5.9	3.5
88	0.129573865	0.1009719	18.6	699.1235599	752.9519997	5.9	3.5
89	0.143715621	0.1129725	18.6	775.4262532	842.4406863	5.9	3.5
90	0.149038447	0.1181346	18.6	858.7034984	940.701992	5.9	3.5
91	0.154044875	0.123099	18.6	948.6240131	1047.686789	5.9	3.5
92	0.158647855	0.127807	18.6	1044.790145	1163.268051	5.9	3.5
93	0.162804833	0.1322272	18.6	1146.788722	1287.262742	5.9	3.5
94	0.166506476	0.1363499	18.6	1254.181509	1419.431149	5.9	3.5
95	0.169049521	0.1396095	18.6	1360.682065	1553.058106	5.9	3.5
96	0.170450147	0.1419971	18.6	1464.352979	1686.001666	5.9	3.5
97	0.17076151	0.1435376	18.6	1563.134528	1815.94344	5.9	3.5
98	0.170084755	0.1442927	18.6	1654.936351	1940.396056	5.9	3.5
99	0.168578669	0.1443772	18.6	1737.683366	2056.822914	5.9	3.5
100	0.167660822	0.1449589	18.6	1824.565267	2180.232751	5.9	3.5
101	0.167297026	0.1460218	18.6	1915.796117	2311.048223	5.9	3.5
102	0.167395886	0.1474994	18.6	2011.584889	2449.70632	5.9	3.5
103	0.167770307	0.1492373	18.6	2112.166178	2596.693258	5.9	3.5
104	0.168063581	0.1509224	18.6	2217.76933	2752.495158	5.9	3.5
105	0.16827636	0.1525523	18.6	2328.659579	2917.64048	5.9	3.5
106	0.168408102	0.1541258	18.6	2445.091814	3092.700029	5.9	3.5
107	0.16845936	0.1556412	18.6	2567.346388	3278.265732	5.9	3.5
108	0.168431258	0.1570971	18.6	2695.714003	3474.95752	5.9	3.5
109	0.168325073	0.1584934	18.6	2830.500475	3683.459077	5.9	3.5
110	0.16814257	0.1598291	18.6	2972.026982	3904.460873	5.9	3.5
111	0.167886048	0.1611051	18.6	3120.630142	4138.730894	5.9	3.5
112	0.167557935	0.1623217	18.6	3276.656597	4387.051366	5.9	3.5
113	0.167162027	0.1634803	18.6	3440.493731	4650.274863	5.9	3.5
114	0.166701583	0.1645828	18.6	3612.518907	4929.2963	5.9	3.5
115	0.166180867	0.1656314	18.6	3793.140042	5225.05284	5.9	3.5
116	0.165607095	0.1656071	18.6	3982.800625	5504.511077	5.9	3.5
117	0.164991274	0.1649913	18.6	4181.939133	5779.734548	5.9	3.5
118	0.164364481	0.1643645	18.6	4391.034784	6068.719531	5.9	3.5
119	0.163836547	0.1638365	18.6	4610.587251	6372.156496	5.9	3.5

