"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","24","252","33572767","0.75"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","24","58","32415926","0.18"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","24","310","65988693","0.47"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","25","264","33228989","0.79"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","25","71","32287895","0.22"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","25","335","65516884","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","26","276","32624339","0.85"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","26","55","31966811","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","26","331","64591150","0.51"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","27","251","32591378","0.77"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","27","72","32129964","0.22"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","27","323","64721342","0.5"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","28","302","32530592","0.93"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","28","53","32084267","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","28","355","64614859","0.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","29","247","32439821","0.76"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","29","56","32018126","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","29","303","64457947","0.47"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","30","313","32862698","0.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","30","66","32337231","0.2"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","30","379","65199929","0.58"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","31","300","32317099","0.93"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","31","54","32038541","0.17"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","31","354","64355640","0.55"
