"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","23","11334","33990702","33.34"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","23","3509","32623426","10.76"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","23","14843","66614128","22.28"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","24","10672","33572767","31.79"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","24","3178","32415926","9.8"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","24","13850","65988693","20.99"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","25","9615","33228989","28.94"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","25","3000","32287895","9.29"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","25","12615","65516884","19.25"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","26","8966","32624339","27.48"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","26","2863","31966811","8.96"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","26","11829","64591150","18.31"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","27","8574","32591378","26.31"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","27","2695","32129964","8.39"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","27","11269","64721342","17.41"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","28","7962","32530592","24.48"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","28","2580","32084267","8.04"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","28","10542","64614859","16.32"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","29","7625","32439821","23.51"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","29","2571","32018126","8.03"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","29","10196","64457947","15.82"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","30","7240","32862698","22.03"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","30","2398","32337231","7.42"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","30","9638","65199929","14.78"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","31","7051","32317099","21.82"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","31","2334","32038541","7.28"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","31","9385","64355640","14.58"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","32","6836","32566395","20.99"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","32","2290","32362863","7.08"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","32","9126","64929258","14.06"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","33","6611","32439229","20.38"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","33","2335","32324520","7.22"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","33","8946","64763749","13.81"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","34","6402","32625190","19.62"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","34","2339","32556295","7.18"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","34","8741","65181485","13.41"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","35","6551","32953633","19.88"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","35","2481","32893379","7.54"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","35","9032","65847012","13.72"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","36","6491","33019357","19.66"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","36","2464","33146361","7.43"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","36","8955","66165718","13.53"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","37","6449","33279870","19.38"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","37","2515","33499041","7.51"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","37","8964","66778911","13.42"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","38","6540","33570968","19.48"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","38","2550","33860789","7.53"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","38","9090","67431757","13.48"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","39","6408","34031240","18.83"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","39","2596","34372297","7.55"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","39","9004","68403537","13.16"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","40","6655","34362279","19.37"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","40","2637","34754743","7.59"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","40","9292","69117022","13.44"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","41","6758","34564860","19.55"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","41","2502","35037103","7.14"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","41","9260","69601963","13.3"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","42","6886","34932942","19.71"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","42","2670","35414540","7.54"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","42","9556","70347482","13.58"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","43","6796","34952964","19.44"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","43","2732","35544635","7.69"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","43","9528","70497599","13.52"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","44","6684","34813382","19.2"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","44","2681","35463281","7.56"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","44","9365","70276663","13.33"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","45","6823","34689880","19.67"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","45","2682","35431695","7.57"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","45","9505","70121575","13.56"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","46","6699","34495259","19.42"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","46","2608","35311991","7.39"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","46","9307","69807250","13.33"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","47","6756","34460124","19.61"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","47","2583","35353350","7.31"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","47","9339","69813474","13.38"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","48","6600","34100794","19.35"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","48","2523","35107524","7.19"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","48","9123","69208318","13.18"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","49","6681","33906977","19.7"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","49","2510","34993256","7.17"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","49","9191","68900233","13.34"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","50","6468","33416558","19.36"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","50","2414","34622654","6.97"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","50","8882","68039212","13.05"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","51","6346","32914233","19.28"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","51","2562","34178883","7.5"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","51","8908","67093116","13.28"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","52","6152","32516297","18.92"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","52","2318","33875455","6.84"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","52","8470","66391752","12.76"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","53","6022","31439604","19.15"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","53","2426","32846671","7.39"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","53","8448","64286275","13.14"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","54","5644","30688499","18.39"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","54","2355","32174615","7.32"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","54","7999","62863114","12.72"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","55","5560","29520523","18.83"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","55","2223","31153526","7.14"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","55","7783","60674049","12.83"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","56","5303","28722092","18.46"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","56","2131","30391837","7.01"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","56","7434","59113929","12.58"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","57","5033","27584509","18.25"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","57","2127","29329089","7.25"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","57","7160","56913598","12.58"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","58","4734","26481046","17.88"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","58","2026","28291274","7.16"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","58","6760","54772320","12.34"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","59","4611","25315043","18.21"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","59","1890","27192480","6.95"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","59","6501","52507523","12.38"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","60","4277","24115105","17.74"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","60","1981","26060645","7.6"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","60","6258","50175750","12.47"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","61","4072","23152626","17.59"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","61","1868","25106166","7.44"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","61","5940","48258792","12.31"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","62","3858","22136214","17.43"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","62","1847","24141470","7.65"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","62","5705","46277684","12.33"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","63","3680","21032413","17.5"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","63","1753","23077541","7.6"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","63","5433","44109954","12.32"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","64","3449","20077579","17.18"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","64","1653","22165848","7.46"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","64","5102","42243427","12.08"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","65","3307","19085842","17.33"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","65","1705","21251597","8.02"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","65","5012","40337439","12.43"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","66","3068","18086315","16.96"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","66","1661","20306492","8.18"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","66","4729","38392807","12.32"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","67","3004","17119473","17.55"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","67","1648","19404691","8.49"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","67","4652","36524164","12.74"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","68","2888","16044992","18"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","68","1736","18393904","9.44"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","68","4624","34438896","13.43"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","69","2735","15378334","17.78"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","69","1640","17847535","9.19"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","69","4375","33225869","13.17"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","70","2724","14638022","18.61"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","70","1714","17241796","9.94"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","70","4438","31879818","13.92"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","71","2735","14029851","19.49"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","71","1715","16717302","10.26"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","71","4450","30747153","14.47"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","72","2643","13230047","19.98"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","72","1761","16044130","10.98"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","72","4404","29274177","15.04"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","73","2644","12614353","20.96"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","73","1781","15548723","11.45"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","73","4425","28163076","15.71"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","74","2614","12027636","21.73"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","74","1803","15108635","11.93"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","74","4417","27136271","16.28"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","75","2594","11373450","22.81"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","75","1812","14595990","12.41"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","75","4406","25969440","16.97"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","76","2640","10819714","24.4"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","76","1921","14186550","13.54"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","76","4561","25006264","18.24"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","77","2582","10203125","25.31"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","77","1917","13707965","13.98"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","77","4499","23911090","18.82"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","78","2660","9617533","27.66"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","78","1960","13251818","14.79"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","78","4620","22869351","20.2"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","79","2632","8952315","29.4"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","79","1932","12700358","15.21"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","79","4564","21652673","21.08"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","80","2460","8258860","29.79"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","80","1949","12078226","16.14"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","80","4409","20337086","21.68"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","81","2357","7611394","30.97"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","81","1858","11502668","16.15"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","81","4215","19114062","22.05"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","82","2315","6915982","33.47"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","82","1909","10821405","17.64"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","82","4224","17737387","23.81"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","83","2069","6233778","33.19"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","83","1750","10122748","17.29"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","83","3819","16356526","23.35"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","84","2024","5528088","36.61"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","84","1600","9354286","17.1"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","84","3624","14882374","24.35"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","85","10415","25436037","40.95"
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","85","8719","55083171","15.83"
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","85","19134","80519208","23.76"
"Males","All Races","United States","Both","All Ages","1999","2014","MV Traffic","199","198",".","."
"Females","All Races","United States","Both","All Ages","1999","2014","MV Traffic","199","32",".","."
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic","199","230",".","."
"","All Races","United States","Both","All Ages","1999","2014","MV Traffic",".","628016","4791896514","13.11"
